id,dt,name,Lon,Lat,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,numclouds,tempdiff,lon_cat,lat_cat,humidity_cat,temp_cat,pressure_cat,wind_speed_cat,wind_deg_cat
5380420,1637716160,Pacifica,-122.4869,37.6138,14.38,13.83,12.45,16.58,1017,75,0.45,49,40,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,East
5373129,1637716160,Millbrae,-122.38720000000001,37.5985,14.64,14.09,12.66,16.79,1017,74,0,0,40,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5331920,1637716160,Burlingame,-122.3661,37.5841,14.6,14.02,12.62,16.75,1017,73,0,0,40,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5391749,1637716160,San Bruno,-122.4111,37.6305,14.66,14.09,12.66,16.79,1017,73,0,0,40,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5392423,1637716160,San Mateo,-122.3255,37.563,14.6,14.02,12.62,16.75,1016,73,0,0,40,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5397765,1637716160,South San Francisco,-122.4078,37.6547,14.69,14.12,12.65,16.78,1017,73,0,0,40,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5327455,1637716160,Belmont,-122.2758,37.5202,14.6,13.97,12.63,16.75,1016,71,1.54,300,20,4.119999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5391760,1637716160,San Carlos,-122.2605,37.5072,14.61,13.93,12.63,16.76,1016,69,1.54,300,20,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5350159,1637716160,Foster City,-122.2711,37.5586,14.69,14.02,12.68,16.81,1016,69,1.54,300,20,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5341430,1637716160,Daly City,-122.4619,37.7058,14.01,13.35,11.93,16.06,1016,72,1.34,284,40,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5386834,1637716160,Redwood City,-122.2364,37.4852,14.64,13.96,12.66,16.79,1015,69,1.54,300,20,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5372223,1637716160,Menlo Park,-122.1822,37.4538,14.57,13.86,12.56,16.68,1016,68,3.09,310,20,4.119999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Low,West
5391959,1637716160,San Francisco,-122.4194,37.7749,14.74,14.05,12.29,16.72,1016,68,0.45,293,40,4.43,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5345032,1637716160,East Palo Alto,-122.1411,37.4688,14.7,13.98,12.66,16.79,1017,67,3.09,310,20,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Low,West
5380748,1637716160,Palo Alto,-122.143,37.4419,14.68,13.93,12.65,16.77,1016,66,3.09,310,20,4.119999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Low,West
